date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2024-09-23,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-24,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-25,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-26,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-27,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-28,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-29,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-30,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-01,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-02,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-03,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-04,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-05,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-06,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-07,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-08,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-09,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-10,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-11,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-12,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-13,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-14,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-15,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-16,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-17,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-18,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-19,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-20,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-10-21,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-22,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-23,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-24,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-25,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-26,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-27,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-28,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-29,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-30,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-10-31,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-01,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-02,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-03,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-04,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-05,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-06,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-07,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-08,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-09,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-10,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-11,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-12,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-13,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-14,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-15,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-16,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-17,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-18,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-19,event_adjusted,138266666,138266666,138266666,138266666,138266666,66666668
2024-11-20,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-21,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-22,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-23,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-24,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-25,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-26,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-27,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-28,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-29,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-11-30,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
