date,view,available_cash_expected_cents,available_cash_p5_cents,available_cash_p50_cents,available_cash_p95_cents,cash_locked_expected_cents,credit_capacity_committed_expected_cents
2025-01-01,event_adjusted,2342735636,1623080131,2531052652,2833816301,68600971,1842332
2025-01-02,event_adjusted,2351138844,1633905589,2545025043,2847856933,68571856,1841060
2025-01-03,event_adjusted,2366988158,1650399674,2561635908,2864727570,68734379,1844620
2025-01-04,event_adjusted,2365471853,1649649561,2557790613,2864641167,69258724,1857589
2025-01-05,event_adjusted,2363528696,1648544972,2557286058,2864641167,69858538,1876915
2025-01-06,event_adjusted,2364305040,1649055874,2558137018,2865719230,69913245,1877169
2025-01-07,event_adjusted,2370991190,1657545713,2562650329,2875195246,71244235,1917093
2025-01-08,event_adjusted,2373974533,1662695966,2569495588,2878966696,72028546,1938199
2025-01-09,event_adjusted,2383242319,1673029878,2576041855,2891165565,72004941,1938453
2025-01-10,event_adjusted,2392349222,1682118153,2588421614,2900127366,72508924,1951422
2025-01-11,event_adjusted,2391260791,1681628371,2588216014,2899820680,72494821,1951676
2025-01-12,event_adjusted,2390087934,1681264044,2587917060,2899820680,72951530,1963119
2025-01-13,event_adjusted,2383716672,1677126410,2573507574,2899401656,73703487,1979394
2025-01-14,event_adjusted,2358446352,1654248503,2542207137,2883852409,74393639,2000246
2025-01-15,event_adjusted,2331984789,1627986022,2519826759,2858152032,74680627,2007112
2025-01-16,event_adjusted,2323355388,1621208018,2504919919,2861041985,74951524,2015249
2025-01-17,event_adjusted,2300688152,1596802551,2469722942,2858375154,75420326,2029998
2025-01-18,event_adjusted,2298460309,1595300562,2469218376,2858375154,76188478,2047798
2025-01-19,event_adjusted,2296336723,1594455839,2467682085,2858126368,77042291,2072210
2025-01-20,event_adjusted,2294590247,1593825883,2464889024,2858126368,77225534,2079076
2025-01-21,event_adjusted,2268832896,1568651962,2441300607,2820161146,77811810,2098656
2025-01-22,event_adjusted,2245813253,1548332930,2434224649,2777011055,77560820,2093062
2025-01-23,event_adjusted,2257343961,1561979323,2438890311,2791677939,77870373,2102979
2025-01-24,event_adjusted,2263155782,1568825305,2437244523,2799369718,77821867,2101708
2025-01-25,event_adjusted,2262124711,1568372251,2436739972,2799369718,77407671,2091027
2025-01-26,event_adjusted,2260458762,1567991599,2433645799,2799019601,77605059,2096113
2025-01-27,event_adjusted,2256883815,1566282706,2431172515,2796379438,78349370,2118491
2025-01-28,event_adjusted,2262780281,1575766240,2435623716,2809410615,79661064,2155363
2025-01-29,event_adjusted,2264756048,1577036427,2432668369,2807856857,79519900,2151040
2025-01-30,event_adjusted,2268249250,1583365039,2429754603,2817920137,79642435,2154600
2025-01-31,event_adjusted,2277121051,1593586147,2427423698,2823710440,79838236,2160194
2025-02-01,event_adjusted,2274650097,1593515175,2212677756,2823702209,80396989,2181046
2025-02-02,event_adjusted,2272975519,1593188743,2204777802,2823702209,80158446,2176977
2025-02-03,event_adjusted,2280522130,1602393413,2209623231,2835226086,80347683,2180537
2025-02-04,event_adjusted,2295357148,1617563819,2220300446,2851967195,80605911,2188675
2025-02-05,event_adjusted,2293323065,1617404264,2210088549,2852050726,81519560,2213087
